V1,V2,Qin,h1,Q1,h2,Q2,time
0.127886958890598,0.1271777187744017,0.4,0.63943479445299,0.3998233342530922,0.6358885938720085,0.39871311549508903,4.3
0.1279033294299499,0.12728182188029022,0.4,0.6395166471497494,0.399848923704253,0.636409109401451,0.3988762682213149,4.4
0.12791732881549417,0.12737300248607325,0.4,0.6395866440774708,0.39987080541017234,0.6368650124303663,0.39901911371185195,4.5
0.12792930059458185,0.12745282367088667,0.4,0.6396465029729093,0.39988951692091107,0.6372641183544333,0.3991441213251286,4.6000000000000005
0.12793953851164735,0.12752266600645346,0.4,0.6396976925582367,0.3999055177658485,0.6376133300322673,0.3992534689991665,4.7
0.12794829373540623,0.1275837478145216,0.4,0.6397414686770311,0.3999192008009489,0.6379187390726078,0.399349076332918,4.800000000000001
0.12795578103527325,0.1276371433454616,0.4,0.6397789051763662,0.3999309018994451,0.638185716727308,0.39943263409695257,4.9
0.12734926758920714,0.12763191255836884,0.3,0.6367463379460357,0.3989819350378048,0.638159562791844,0.3994244492989754,5.0
0.11818755532629258,0.1268824224117069,0.3,0.5909377766314629,0.3843623865024253,0.6344121120585345,0.3982499567035216,5.1000000000000005
0.11040125647173792,0.12497139127920803,0.3,0.5520062823586895,0.3714856263567108,0.6248569563960401,0.3952394705724119,5.2
0.10382109776541722,0.12222691716978215,0.3,0.5191054888270861,0.3602448781132042,0.6111345858489108,0.39087548715809184,5.300000000000001
0.09828938697952333,0.11892171651549285,0.3,0.49144693489761665,0.35051638153522163,0.5946085825774643,0.3855543355257017,5.4
0.09366144332304406,0.11527935758234047,0.3,0.4683072166152203,0.3421648786098537,0.5763967879117023,0.3796040002099517,5.5
0.08980646033873795,0.11147962937356691,0.3,0.44903230169368974,0.33504936266749213,0.5573981468678346,0.37329550856256044,5.6000000000000005
0.08660780504070072,0.10766353421230672,0.3,0.43303902520350357,0.329028503782778,0.5383176710615336,0.3668506750150763,5.7
0.08396280989080092,0.10393812254433364,0.3,0.4198140494540046,0.3239652949997785,0.5196906127216682,0.36044785083369496,5.800000000000001
0.08178215072897513,0.10038122301221383,0.3,0.40891075364487556,0.31973064978513643,0.5019061150610691,0.35422666295928823,5.9
0.07998892119017423,0.09704602723166027,0.3,0.3999446059508711,0.31620586883927004,0.4852301361583013,0.34829231117128795,6.0
0.07851751437688874,0.09396544597934518,0.3,0.39258757188444365,0.3132840451915312,0.4698272298967259,0.34271972142135165,6.1000000000000005
0.0773124103697554,0.09115614555333643,0.3,0.38656205184877696,0.3108705726864781,0.45578072776668216,0.33755767198256376,6.2
0.07632694909615552,0.08862218680456599,0.3,0.3816347454807776,0.3088829654905001,0.44311093402282986,0.332832891261561,6.300000000000001
0.07552214696444609,0.08635821439911241,0.3,0.37761073482223045,0.3072501972425193,0.43179107199556205,0.3285540564331272,6.4
0.0748655958758238,0.0843521725619689,0.3,0.374327979379119,0.3059117435548798,0.42176086280984454,0.3247155920219727,6.5
0.0743304666357603,0.08258755059717118,0.3,0.3716523331788015,0.3048164747757308,0.4129377529858559,0.321301164402077,6.6000000000000005
0.07389462602698042,0.0810451837573172,0.3,0.3694731301349021,0.30392150719178307,0.40522591878658604,0.31828678844127634,6.7
0.07353986776520066,0.07970465108100713,0.3,0.36769933882600325,0.30319108612638374,0.39852325540503564,0.31564349169724004,6.800000000000001
